device_time_stamp,system_time_stamp,UTC,left_gaze_point_on_display_area_x,left_gaze_point_on_display_area_y,left_gaze_point_in_user_coordinate_system_x,left_gaze_point_in_user_coordinate_system_y,left_gaze_point_in_user_coordinate_system_z,left_gaze_origin_in_trackbox_coordinate_system_x,left_gaze_origin_in_trackbox_coordinate_system_y,left_gaze_origin_in_trackbox_coordinate_system_z,left_gaze_origin_in_user_coordinate_system_x,left_gaze_origin_in_user_coordinate_system_y,left_gaze_origin_in_user_coordinate_system_z,left_pupil_diameter,left_pupil_validity,left_gaze_origin_validity,left_gaze_point_validity,right_gaze_point_on_display_area_x,right_gaze_point_on_display_area_y,right_gaze_point_in_user_coordinate_system_x,right_gaze_point_in_user_coordinate_system_y,right_gaze_point_in_user_coordinate_system_z,right_gaze_origin_in_trackbox_coordinate_system_x,right_gaze_origin_in_trackbox_coordinate_system_y,right_gaze_origin_in_trackbox_coordinate_system_z,right_gaze_origin_in_user_coordinate_system_x,right_gaze_origin_in_user_coordinate_system_y,right_gaze_origin_in_user_coordinate_system_z,right_pupil_diameter,right_pupil_validity,right_gaze_origin_validity,right_gaze_point_validity
9424035809,4659858401190,-269463206,0.16805285215377808,0.4685136377811432,-124.70729064941406,160.00326538085938,51.42543029785156,0.5554812550544739,0.5321218371391296,0.8266713619232178,-29.050037384033203,-16.819011688232422,748.0014038085938,2.82147216796875,1,1,1,0.1593925952911377,0.48697540163993835,-127.95318603515625,154.90431213378906,49.261051177978516,0.43562769889831543,0.5319817662239075,0.8682301640510559,34.26719284057617,-17.024791717529297,760.4690551757812,2.7994842529296875,1,1,1
9424044152,4659858409534,-269463198,0.18048959970474243,0.49470973014831543,-120.04595947265625,152.76817321777344,48.35430908203125,0.5554335117340088,0.5321433544158936,0.825848400592804,-29.015445709228516,-16.824752807617188,747.7545166015625,,0,1,1,0.15323883295059204,0.44781696796417236,-130.25962829589844,165.719482421875,53.8518180847168,0.43558746576309204,0.5320213437080383,0.8683530688285828,34.2902717590332,-17.046709060668945,760.5059204101562,,0,1,1
9424052475,4659858417857,-269463190,0.1773720681667328,0.5009148120880127,-121.21442413330078,151.0543975830078,47.62685012817383,0.5554542541503906,0.5321562886238098,0.8256296515464783,-29.023771286010742,-16.830041885375977,747.6889038085938,,0,1,1,,,,,,,,,,,,,0,0,0
9424060808,4659858426190,-269463182,0.18051742017269135,0.49710339307785034,-120.03553009033203,152.10707092285156,48.07368469238281,0.5554683804512024,0.532185971736908,0.8258488178253174,-29.03370475769043,-16.847036361694336,747.754638671875,2.916656494140625,1,1,1,0.15184396505355835,0.4523264765739441,-130.7824249267578,164.4739990234375,53.323143005371094,0.4356200397014618,0.5320425629615784,0.8687093257904053,34.27775192260742,-17.060388565063477,760.61279296875,2.8840179443359375,1,1,1
9424069151,4659858434533,-269463173,0.1783052384853363,0.4950517416000366,-120.86466217041016,152.6737060546875,48.314212799072266,0.5554073452949524,0.5322129726409912,0.8261655569076538,-29.005462646484375,-16.86332893371582,747.8496704101562,,0,1,1,0.1482277810573578,0.45292413234710693,-132.13778686523438,164.30892944335938,53.25307846069336,0.43556520342826843,0.5320940017700195,0.8687634468078613,34.307682037353516,-17.08814811706543,760.6290283203125,,0,1,1
9424077483,4659858442866,-269463165,,,,,,,,,,,,,0,0,0,0.1431218683719635,0.4571290612220764,-134.05149841308594,163.1475830078125,52.760108947753906,0.43559014797210693,0.5320872068405151,0.8691390156745911,34.29948806762695,-17.087045669555664,760.74169921875,,0,1,1
9424085815,4659858451197,-269463157,0.18027186393737793,0.5395859479904175,-120.12757110595703,140.37380981445312,43.09321212768555,0.555414080619812,0.532238781452179,0.8272666335105896,-29.02179527282715,-16.88429832458496,748.1799926757812,2.767120361328125,1,1,1,0.1354549378156662,0.43956202268600464,-136.92507934570312,167.99942016601562,54.81959533691406,0.4355563521385193,0.53211510181427,0.8696893453598022,34.324928283691406,-17.10562515258789,760.9067993164062,2.7033538818359375,1,1,1
9424094147,4659858459529,-269463149,0.16529014706611633,0.49049824476242065,-125.74275970458984,153.93133544921875,48.848045349121094,0.5553514361381531,0.5322612524032593,0.8279771208763123,-28.997249603271484,-16.9008846282959,748.3931274414062,,0,1,1,,,,,,,,,,,,,0,0,0
9424102481,4659858467864,-269463139,0.16543850302696228,0.4965725541114807,-125.6871566772461,152.25367736816406,48.135921478271484,0.5553442239761353,0.5322641134262085,0.8290085792541504,-29.00545883178711,-16.90935516357422,748.7025756835938,,0,1,1,0.1470429003238678,0.44835299253463745,-132.58187866210938,165.57144165039062,53.788978576660156,0.43553560972213745,0.5321308374404907,0.8704679608345032,34.34650802612305,-17.119253158569336,761.140380859375,,0,1,1
9424110802,4659858476185,-269463132,0.16001403331756592,0.529794454574585,-127.72026062011719,143.078125,44.24112319946289,0.5553328990936279,0.5322787761688232,0.8302929401397705,-29.014446258544922,-16.92574119567871,749.087890625,2.7564239501953125,1,1,1,0.1427391767501831,0.4584065079689026,-134.19493103027344,162.7947540283203,52.610347747802734,0.43550729751586914,0.5321348309516907,0.8708601593971252,34.366912841796875,-17.1240177154541,761.258056640625,2.7750244140625,1,1,1
