,bin,time(ms),color change & not first & correct,no color change & not first & correct,
208278119,90,2245,1.517,3.4766,
208278119,91,2270,1.352,3.1629,
208278119,92,2295,0.7953,3.0308,
208278119,93,2320,0.85716,2.8356,
208278119,94,2346,1.1411,3.1177,
208278119,95,2371,0.92999,2.4905,
208278119,96,2396,0.74437,2.5563,
208278119,97,2421,0.52544,2.7255,
208278119,98,2446,0.045486,2.5091,
208278119,99,2472,0.13277,2.4425,
208278119,100,2497,0.19341,2.7684,
208278119,101,2522,0.013379,2.4704,
208278119,102,2547,-0.22092,2.3539,
208278119,103,2573,-0.18743,2.312,
208278119,104,2598,-0.6721,2.5679,
208278119,105,2623,-0.50403,2.3579,
208278119,106,2648,-0.55067,2.2905,
208278119,107,2673,-0.80514,2.1442,
208278119,108,2699,-0.44891,2.0625,
208278119,109,2724,-0.39404,1.5253,
208278119,110,2749,-0.46247,1.9577,
208278119,111,2774,-0.46132,1.7961,
208278119,112,2800,-0.47381,1.509,
208278119,113,2825,-0.61974,2.2529,
208278119,114,2850,2.2085,
208827162,1,0,0,0,
208827162,2,25,1.4088,-0.085063,
208827162,3,51,1.8346,0.074391,
208827162,4,76,1.7403,0.25279,
208827162,5,101,1.4977,2.1373,
208827162,6,126,1.4222,0.5911,
208827162,7,152,2.1048,0.87143,
208827162,8,177,2.2617,0.51003,
208827162,9,202,2.4802,0.79641,
208827162,10,227,2.5579,1.2459,
208827162,11,253,1.9974,0.8268,
208827162,12,278,1.9432,-0.37887,
208827162,13,303,4.0924,1.6911,
208827162,14,328,3.8122,1.2569,
208827162,15,354,3.5052,1.6348,
208827162,16,379,2.4262,0.53648,
208827162,17,404,2.9225,0.90715,
208827162,18,429,3.3384,0.61256,
208827162,19,455,3.5144,-0.18796,
208827162,20,480,2.7712,-0.33653,
208827162,21,505,2.1281,-0.27328,
208827162,22,530,2.1998,-0.4573,
208827162,23,556,2.8623,-0.14603,
208827162,24,581,2.6073,-0.23862,
208827162,25,606,2.267,-0.47534,
208827162,26,632,2.5119,-0.62916,
208827162,27,657,1.5357,0.19086,
208827162,28,682,2.209,0.3678,
208827162,29,707,2.2768,0.93084,
208827162,30,733,1.6963,-0.091112,
208827162,31,758,1.19,0.19068,
208827162,32,783,1.7645,0.13847,
208827162,33,808,0.90132,0.76832,
208827162,34,834,1.3747,-0.063341,
208827162,35,859,1.7882,0.8099,
208827162,36,884,1.8145,0.49069,
208827162,37,909,2.5327,-0.13465,
208827162,38,935,2.1802,-0.42988,
208827162,39,960,0.50385,-0.54166,
208827162,40,985,1.593,-0.3726,
208827162,41,1010,1.6152,1.2515,
208827162,42,1036,1.8839,-0.35786,
208827162,43,1061,2.8949,0.43595,
208827162,44,1086,1.4157,0.63398,
208827162,45,1111,2.8753,0.87558,
208827162,46,1137,2.5436,1.6352,
208827162,47,1162,2.4546,-0.0048813,
208827162,48,1187,1.8487,-0.19181,
208827162,49,1213,1.8001,0.44434,
208827162,50,1238,2.8252,0.60939,
208827162,51,1263,3.0517,0.39884,
208827162,52,1288,2.4726,1.79,
208827162,53,1314,2.5649,1.0834,
208827162,54,1339,3.1666,1.32,
208827162,55,1364,2.579,0.40475,
208827162,56,1389,2.677,1.298,
208827162,57,1415,2.8179,1.4038,
208827162,58,1440,2.6039,1.3435,
208827162,59,1465,3.5593,1.5603,
208827162,60,1490,3.6549,1.3326,
208827162,61,1516,3.3985,1.5093,
208827162,62,1541,3.3714,1.7546,
208827162,63,1566,4.1018,2.9231,
208827162,64,1591,3.8445,2.6561,
208827162,65,1617,3.0377,1.6792,
208827162,66,1642,4.8215,1.2147,
208827162,67,1667,4.3465,2.1613,
208827162,68,1692,3.4895,2.7655,
208827162,69,1718,3.612,1.7306,
208827162,70,1743,3.1841,1.5717,
208827162,71,1768,2.7988,0.75869,
208827162,72,1793,2.4043,0.96663,
208827162,73,1819,2.2712,1.2534,
208827162,74,1844,3.0873,0.42114,
208827162,75,1869,2.4782,0.33184,
208827162,76,1895,2.3185,-0.58162,
208827162,77,1920,2.1208,0.12843,
208827162,78,1945,2.3695,1.2306,
208827162,79,1970,1.6573,1.0862,
208827162,80,1996,2.1099,0.51046,
208827162,81,2021,1.991,0.042486,
208827162,82,2046,0.79764,0.2986,
208827162,83,2071,1.0622,0.94855,
208827162,84,2097,0.3985,0.096288,
208827162,85,2122,-0.89808,0.32984,
208827162,86,2147,1.1917,0.3038,
208827162,87,2172,0.87941,0.092383,
208827162,88,2198,0.21262,-1.3399,
208827162,89,2223,0.50902,-0.016366,
208827162,90,2248,-1.6291,-1.2324,
208827162,91,2273,-0.37028,0.30025,
208827162,92,2299,0.30704,-0.1383,
208827162,93,2324,0.31426,-0.27076,
208827162,94,2349,0.11656,0.29522,
208827162,95,2374,0.033529,
208827162,96,2400,0.14113,
208827162,97,2425,-1.6207,
209049931,1,0,0,0,
209049931,2,25,-0.31908,0.15172,
209049931,3,51,-0.36422,0.1654,
209049931,4,76,-0.13457,0.084307,
209049931,5,101,-0.062258,0.55778,
209049931,6,126,0.43808,0.59855,
209049931,7,152,0.30029,0.63358,
209049931,8,177,0.45942,0.81453,
209049931,9,202,0.37076,0.32103,
209049931,10,227,-0.052265,0.22033,
209049931,11,253,0.47877,0.41224,
209049931,12,278,0.19357,0.10156,
209049931,13,303,0.58424,0.41546,
209049931,14,328,0.10862,0.44767,
209049931,15,354,0.2966,0.66898,
209049931,16,379,0.22641,0.49916,
209049931,17,404,0.41748,0.15918,
209049931,18,429,0.49852,0.27973,
209049931,19,455,0.048582,0.5143,
209049931,20,480,0.18565,0.36841,
209049931,21,505,0.5247,0.12617,
209049931,22,530,-0.087766,0.61916,
209049931,23,556,0.20211,0.39626,
209049931,24,581,0.35633,0.51017,
209049931,25,606,0.50279,0.88198,
209049931,26,631,0.44461,0.90372,
