,bin,time(ms),not first & no update & correct,not first & update & correct,
207917279,102,2549,3.0717,3.1818,
207917279,103,2574,3.0728,3.209,
207917279,104,2599,3.0655,
207917279,105,2625,3.0736,
207917279,106,2650,3.0682,
207917279,107,2675,3.0853,
208488783,1,0,2.9775,2.9448,
208488783,2,25,2.9275,2.9294,
208488783,3,50,2.9908,2.9542,
208488783,4,76,3.0073,2.99,
208488783,5,101,3.0323,2.9833,
208488783,6,126,2.9834,2.9957,
208488783,7,151,3.0488,2.9949,
208488783,8,176,2.9586,2.9559,
208488783,9,202,2.9518,2.9673,
208488783,10,227,2.9484,2.9169,
208488783,11,252,2.9843,2.975,
208488783,12,277,3.0364,2.9777,
208488783,13,303,2.9612,3.0005,
208488783,14,328,2.9886,2.9717,
208488783,15,353,2.9809,3.0515,
208488783,16,378,2.9394,2.9926,
208488783,17,403,2.9984,3.0023,
208488783,18,429,2.9702,2.9746,
208488783,19,454,2.9824,2.9652,
208488783,20,479,3.006,2.9866,
208488783,21,504,3.0319,2.9962,
208488783,22,529,2.9633,2.9957,
208488783,23,555,2.9803,2.9835,
208488783,24,580,3.0169,2.9618,
208488783,25,605,3.029,2.9281,
208488783,26,630,2.9754,2.9814,
208488783,27,655,2.9335,2.9768,
208488783,28,681,3.0267,2.9396,
208488783,29,706,2.9898,2.9414,
208488783,30,731,2.9742,2.9889,
208488783,31,756,2.9933,2.9561,
208488783,32,781,3.0128,2.9635,
208488783,33,807,2.9846,2.9655,
208488783,34,832,3.0124,2.9732,
208488783,35,857,3.0196,2.9636,
208488783,36,882,2.9811,2.9872,
208488783,37,908,3.0406,2.9792,
208488783,38,933,2.9988,2.9956,
208488783,39,958,2.9861,2.9855,
208488783,40,983,2.9613,2.9521,
208488783,41,1008,2.9818,2.9764,
208488783,42,1034,2.9976,2.9568,
208488783,43,1059,3.0148,2.9453,
208488783,44,1084,3.0101,2.9708,
208488783,45,1109,2.992,2.9672,
208488783,46,1134,2.993,2.9932,
208488783,47,1160,2.9821,2.9602,
208488783,48,1185,3.0178,2.983,
208488783,49,1210,2.967,2.9603,
208488783,50,1235,2.9872,2.9892,
208488783,51,1260,3.0175,3.0228,
208488783,52,1286,2.9756,2.9466,
208488783,53,1311,3.0359,2.9612,
208488783,54,1336,3.0446,2.9892,
208488783,55,1361,3.0118,2.9667,
208488783,56,1386,2.9682,2.948,
208488783,57,1412,3.0132,2.9713,
208488783,58,1437,3.0643,2.951,
208488783,59,1462,2.9998,2.9547,
208488783,60,1487,3.0288,3.0388,
208488783,61,1513,3.0407,2.9862,
208488783,62,1538,2.9996,2.9477,
208488783,63,1563,3.0083,2.9535,
208488783,64,1588,3.0124,2.956,
208488783,65,1613,2.9669,2.962,
208488783,66,1639,2.9486,2.942,
208488783,67,1664,3.0013,2.9347,
208488783,68,1689,3.0034,2.9633,
208488783,69,1714,3.024,2.9892,
208488783,70,1739,3.0273,2.9558,
208488783,71,1765,3.0391,2.9633,
208488783,72,1790,3.0238,2.9417,
208488783,73,1815,2.9915,2.9291,
208488783,74,1840,3.0121,2.9465,
208488783,75,1865,3.0185,2.9403,
208488783,76,1891,3.0525,2.9395,
208488783,77,1916,2.9787,2.9393,
208488783,78,1941,2.9873,2.9594,
208488783,79,1966,3.0051,2.9813,
208488783,80,1991,3.0236,2.9746,
208488783,81,2017,3.0306,2.9668,
208488783,82,2042,2.9783,2.9494,
208488783,83,2067,2.9719,2.9966,
208488783,84,2092,3.0101,2.9022,
208488783,85,2118,3.0044,2.9129,
208488783,86,2143,2.9822,2.9219,
208488783,87,2168,2.9924,2.909,
208488783,88,2193,2.9826,2.9581,
208488783,89,2218,2.9252,2.9861,
208488783,90,2244,2.9666,2.9952,
208488783,91,2269,3.0104,2.9938,
208488783,92,2294,2.9953,2.9687,
208488783,93,2319,3.0018,2.946,
208488783,94,2344,2.9943,2.9582,
208488783,95,2370,2.979,2.9269,
208488783,96,2395,2.9898,2.9645,
208488783,97,2420,3.053,2.8957,
208488783,98,2445,3.012,2.9369,
208488783,99,2470,3.0428,2.89,
208488783,100,2496,2.9565,2.9281,
208488783,101,2521,3.0316,2.9066,
208488783,102,2546,2.9947,2.9367,
208488783,103,2571,3.0177,2.9503,
208488783,104,2596,3.0316,2.962,
208488783,105,2622,3.055,2.9591,
208488783,106,2647,3.0492,2.9861,
208488783,107,2672,3.0364,2.9173,
208488783,108,2697,3.0535,2.9612,
208488783,109,2723,3.0524,3.0026,
208488783,110,2748,3.0767,2.9953,
208488783,111,2773,3.0487,2.963,
208488783,112,2798,3.0529,2.9367,
208488783,113,2823,3.0524,2.9198,
208488783,114,2849,2.9619,2.9171,
208488783,115,2874,3.0336,2.9798,
208488783,116,2899,3.0029,2.9521,
208488783,117,2924,3.0551,
208488783,118,2949,3.0049,
208488783,119,2975,3.055,
208488783,120,3000,3.0551,
208488783,121,3025,3.0192,
208827162,1,0,3.3293,3.3423,
208827162,2,25,3.3267,3.3604,
208827162,3,51,3.3186,3.392,
208827162,4,76,3.3332,3.3834,
208827162,5,101,3.3498,3.4292,
208827162,6,126,3.3324,3.3819,
208827162,7,152,3.3318,3.4262,
208827162,8,177,3.3414,3.4004,
208827162,9,202,3.3279,3.4305,
208827162,10,227,3.3557,3.4099,
208827162,11,253,3.3508,3.3789,
208827162,12,278,3.3294,3.3419,
208827162,13,303,3.3675,3.4697,
208827162,14,328,3.3556,3.4341,
208827162,15,354,3.3637,3.4488,
208827162,16,379,3.3355,3.4019,
208827162,17,404,3.3267,3.4345,
208827162,18,429,3.3638,3.3791,
208827162,19,455,3.3525,3.3758,
208827162,20,480,3.3421,3.3559,
208827162,21,505,3.3213,3.3644,
208827162,22,530,3.3338,3.3438,
208827162,23,556,3.3447,3.3548,
208827162,24,581,3.3526,3.3449,
208827162,25,606,3.3211,3.3585,
208827162,26,631,3.3331,3.3384,
208827162,27,657,3.337,3.3441,
208827162,28,682,3.363,3.341,
208827162,29,707,3.3379,3.3963,
208827162,30,732,3.3404,3.3381,
208827162,31,758,3.2952,3.3883,
208827162,32,783,3.3351,3.3533,
208827162,33,808,3.3415,3.3463,
208827162,34,834,3.3252,3.3464,
208827162,35,859,3.3246,3.3973,
208827162,36,884,3.3148,3.4028,
208827162,37,909,3.3123,3.3693,
208827162,38,935,3.3203,3.336,
208827162,39,960,3.2921,3.3192,
208827162,40,985,3.3115,3.3368,
