,bin,time(ms),color change & not first & update & correct,no color change & not first & no update & correct,
208278119,37,908,1.4207,2.3444,
208278119,38,933,1.9333,3.4929,
208278119,39,958,1.5905,2.1316,
208278119,40,984,2.0136,2.7864,
208278119,41,1009,2.0744,2.6965,
208278119,42,1034,2.1563,2.2306,
208278119,43,1059,2.1062,2.5273,
208278119,44,1084,2.2334,2.9571,
208278119,45,1110,2.076,2.8679,
208278119,46,1135,2.3298,2.7926,
208278119,47,1160,2.286,2.9536,
208278119,48,1185,2.4581,3.1053,
208278119,49,1211,2.062,2.2306,
208278119,50,1236,2.3651,3.1929,
208278119,51,1261,2.8334,3.0345,
208278119,52,1286,2.3508,3.3535,
208278119,53,1311,2.4145,3.2142,
208278119,54,1337,3.0961,3.9549,
208278119,55,1362,2.8272,2.7764,
208278119,56,1387,3.0977,2.5278,
208278119,57,1412,3.0318,3.3151,
208278119,58,1438,2.5455,2.8027,
208278119,59,1463,3.0487,2.8659,
208278119,60,1488,2.6994,3.0199,
208278119,61,1513,2.6665,2.4772,
208278119,62,1538,2.1783,2.3736,
208278119,63,1564,1.5853,3.0081,
208278119,64,1589,1.7001,3.1259,
208278119,65,1614,1.5729,2.8526,
208278119,66,1639,1.8586,2.9688,
208278119,67,1664,2.3982,2.864,
208278119,68,1690,1.4244,2.6771,
208278119,69,1715,1.9854,3.0845,
208278119,70,1740,2.2408,2.8276,
208278119,71,1765,1.8791,2.7159,
208278119,72,1791,1.6844,3.1432,
208278119,73,1816,2.3807,3.6375,
208278119,74,1841,1.5909,3.046,
208278119,75,1866,1.889,2.8349,
208278119,76,1891,1.7211,2.5619,
208278119,77,1917,1.9004,2.4047,
208278119,78,1942,1.8322,2.6824,
208278119,79,1967,2.5227,3.2134,
208278119,80,1992,1.1972,3.5122,
208278119,81,2018,1.4974,3.7791,
208278119,82,2043,1.2843,3.7627,
208278119,83,2068,0.50097,3.5186,
208278119,84,2093,1.2957,4.2336,
208278119,85,2118,0.9044,3.719,
208278119,86,2144,1.1923,3.9869,
208278119,87,2169,1.6858,4.2782,
208278119,88,2194,1.0059,4.0528,
208278119,89,2219,1.2488,2.7627,
208278119,90,2245,1.5659,3.2666,
