,bin,time(ms),not first & no update & correct,not first & update & correct,
208488783,68,1689,0.10305,-0.15689,
208488783,69,1714,0.23701,0.010915,
208488783,70,1739,0.25832,-0.20592,
208488783,71,1765,0.33476,-0.15719,
208488783,72,1790,0.23544,-0.29741,
208488783,73,1815,0.025833,-0.37891,
208488783,74,1840,0.15953,-0.26579,
208488783,75,1865,0.20152,-0.30605,
208488783,76,1891,0.4218,-0.31179,
208488783,77,1916,-0.057324,-0.31271,
208488783,78,1941,-0.0011961,-0.1825,
208488783,79,1966,0.11452,-0.04017,
208488783,80,1991,0.2342,-0.083962,
208488783,81,2017,0.28004,-0.13405,
208488783,82,2042,-0.059901,-0.24699,
208488783,83,2067,-0.10091,0.059355,
208488783,84,2092,0.1465,-0.55341,
208488783,85,2118,0.10965,-0.48404,
208488783,86,2143,-0.034506,-0.42597,
208488783,87,2168,0.032055,-0.50961,
208488783,88,2193,-0.031967,-0.19053,
208488783,89,2218,-0.40434,-0.0090944,
208488783,90,2244,-0.13593,0.050199,
208488783,91,2269,0.14863,0.04107,
208488783,92,2294,0.050476,-0.12187,
208488783,93,2319,0.092918,-0.26957,
208488783,94,2344,0.044507,-0.19,
208488783,95,2370,-0.05508,-0.39366,
208488783,96,2395,0.015239,-0.14928,
208488783,97,2420,0.42549,-0.59568,
208488783,98,2445,0.15891,-0.32819,
208488783,99,2470,0.3592,-0.63274,
208488783,100,2496,-0.20129,-0.38568,
208488783,101,2521,0.28617,-0.52497,
208488783,102,2546,0.046914,-0.32949,
208488783,103,2571,0.1963,-0.24174,
208488783,104,2596,0.28621,-0.16559,
208488783,105,2622,0.43832,-0.184,
208488783,106,2647,0.40065,-0.0089961,
208488783,107,2672,0.31745,-0.45598,
208488783,108,2697,0.42826,-0.17075,
208488783,109,2723,0.42168,0.098283,
208488783,110,2748,0.57946,0.050587,
208488783,111,2773,0.39753,-0.15917,
208488783,112,2798,0.42441,-0.32941,
208488783,113,2823,0.42151,-0.43917,
208488783,114,2849,-0.16626,-0.45683,
208488783,115,2874,0.29941,-0.049746,
208488783,116,2899,0.09989,-0.22989,
208488783,117,2924,0.43901,
208488783,118,2949,0.11276,
208488783,119,2975,0.43858,
208488783,120,3000,0.43876,
208488783,121,3025,0.20575,
208827162,1,0,-0.18143,-0.13004,
208827162,2,25,-0.19143,-0.05913,
208827162,3,51,-0.22329,0.065075,
208827162,4,76,-0.16593,0.03158,
208827162,5,101,-0.1005,0.21156,
208827162,6,126,-0.16894,0.02538,
208827162,7,152,-0.17156,0.19984,
208827162,8,177,-0.13381,0.098365,
208827162,9,202,-0.18698,0.21648,
208827162,10,227,-0.077596,0.13553,
208827162,11,253,-0.096956,0.013688,
208827162,12,278,-0.1809,-0.13187,
208827162,13,303,-0.031173,0.37057,
208827162,14,328,-0.077704,0.2307,
208827162,15,354,-0.046204,0.28858,
208827162,16,379,-0.15708,0.10415,
208827162,17,404,-0.19163,0.2322,
208827162,18,429,-0.04585,0.014643,
208827162,19,455,-0.089924,0.0016493,
208827162,20,480,-0.13089,-0.076669,
208827162,21,505,-0.21287,-0.043102,
208827162,22,530,-0.16379,-0.1241,
208827162,23,556,-0.12065,-0.080894,
208827162,24,581,-0.089597,-0.11993,
208827162,25,606,-0.21346,-0.066341,
208827162,26,631,-0.16643,-0.14564,
208827162,27,657,-0.15083,-0.12298,
208827162,28,682,-0.048663,-0.13517,
208827162,29,707,-0.14734,0.081986,
208827162,30,732,-0.13765,-0.14654,
208827162,31,758,-0.31541,0.050471,
208827162,32,783,-0.15839,-0.08697,
208827162,33,808,-0.13351,-0.11458,
208827162,34,834,-0.19757,-0.11417,
208827162,35,859,-0.19977,0.08588,
208827162,36,884,-0.23821,0.10764,
208827162,37,909,-0.24795,-0.023882,
208827162,38,935,-0.21667,-0.15511,
208827162,39,960,-0.32755,-0.22087,
208827162,40,985,-0.25113,-0.15165,
208827162,41,1010,-0.1343,0.0092934,
208827162,42,1036,-0.25291,-0.05995,
208827162,43,1061,-0.1226,0.0013546,
208827162,44,1086,-0.28273,0.055081,
208827162,45,1111,-0.14923,0.095064,
208827162,46,1137,-0.03334,0.016208,
208827162,47,1162,-0.19231,-0.035401,
208827162,48,1187,-0.29471,-0.019939,
208827162,49,1212,-0.18898,-0.044854,
208827162,50,1238,-0.14181,0.032476,
208827162,51,1263,-0.1404,0.039222,
208827162,52,1288,-0.080775,0.11718,
208827162,53,1313,-0.05803,0.013925,
208827162,54,1339,-0.050678,0.13032,
208827162,55,1364,-0.16642,0.041482,
208827162,56,1389,-0.13599,0.14976,
208827162,57,1414,-0.084919,0.11082,
208827162,58,1440,-0.073611,0.066008,
208827162,59,1465,0.037343,0.060601,
208827162,60,1490,-0.033965,0.1182,
208827162,61,1515,-0.003391,0.096425,
208827162,62,1541,-0.0049329,0.13057,
208827162,63,1566,0.093241,0.29433,
208827162,64,1591,0.098131,0.18762,
208827162,65,1616,-0.022333,0.10041,
208827162,66,1642,0.035022,0.0615,
208827162,67,1667,0.12069,0.052407,
208827162,68,1692,0.11762,0.075695,
208827162,69,1718,0.028018,0.034659,
208827162,70,1743,-0.077209,0.095928,
208827162,71,1768,-0.047966,-0.1159,
208827162,72,1793,-0.03671,-0.14013,
208827162,73,1819,-0.098461,-0.017016,
208827162,74,1844,-0.18542,0.029158,
208827162,75,1869,-0.17953,-0.056983,
208827162,76,1894,-0.23045,-0.13641,
208827162,77,1920,-0.23526,-0.046937,
208827162,78,1945,-0.23501,0.17896,
208827162,79,1970,-0.24543,0.092973,
208827162,80,1995,-0.26442,0.079079,
208827162,81,2021,-0.29028,0.016894,
208827162,82,2046,-0.31755,-0.056106,
208827162,83,2071,-0.23495,-0.019618,
208827162,84,2096,-0.34206,-0.098986,
208827162,85,2122,-0.35052,-0.20783,
208827162,86,2147,-0.32979,0.010794,
208827162,87,2172,-0.51156,0.075036,
208827162,88,2197,-0.51044,-0.18148,
208827162,89,2223,-0.28242,-0.23251,
208827162,90,2248,-0.63827,-0.17249,
208827162,91,2273,-0.3316,-0.19496,
208827162,92,2298,-0.36606,-0.16617,
208827162,93,2324,-0.4071,-0.14136,
208827162,94,2349,-0.33469,
