,bin,time(ms),not first & no update & correct,not first & update & correct,
209154863,111,2771,-0.16036,-0.021489,
209154863,112,2796,-0.14867,-0.026586,
209154863,113,2821,-0.13521,-0.049083,
209154863,114,2846,-0.13605,0.005741,
209154863,115,2871,-0.13403,-0.035685,
209154863,116,2896,-0.13071,-0.010923,
209154863,117,2922,-0.10865,-0.0098943,
209154863,118,2947,-0.12666,-0.012818,
209154863,119,2972,-0.12446,0.0029343,
209154863,120,2997,-0.12695,0.0067337,
209154863,121,3022,-0.074008,0.0027047,
209154863,122,3048,-0.1203,0.01716,
209154863,123,3073,-0.099227,0.033389,
209154863,124,3098,-0.088399,0.064458,
209154863,125,3123,-0.079414,0.069465,
209154863,126,3148,-0.050686,0.093127,
209154863,127,3174,-0.0082414,0.081069,
209154863,128,3199,0.0068368,0.096425,
209154863,129,3224,0.0061702,0.13463,
209154863,130,3249,0.0065861,0.14022,
209154863,131,3274,0.13959,
209154863,132,3299,0.15918,
209154863,133,3325,0.2322,
209154863,134,3350,0.2486,
209154863,135,3375,0.25434,
314919309,1,0,0,0,
314919309,2,25,0.002964,0.029151,
314919309,3,50,-0.027519,0.032602,
314919309,4,76,-0.0045938,0.080025,
314919309,5,101,0.018153,0.073198,
314919309,6,126,0.006327,0.12316,
314919309,7,151,0.043732,0.15604,
314919309,8,177,0.063393,0.1537,
314919309,9,202,0.080511,0.18739,
314919309,10,227,0.099463,0.16024,
314919309,11,252,0.10954,0.13284,
314919309,12,277,0.10723,0.13776,
314919309,13,303,0.12179,0.12098,
314919309,14,328,0.10868,0.10314,
314919309,15,353,0.073064,0.053707,
314919309,16,378,0.081738,0.053252,
314919309,17,404,0.064431,0.054119,
314919309,18,429,0.05489,0.022683,
314919309,19,454,0.022396,-0.0096684,
314919309,20,479,0.023977,-0.02781,
314919309,21,504,0.013705,-0.038561,
314919309,22,530,-0.026096,-0.047992,
314919309,23,555,-0.01986,-0.066562,
314919309,24,580,-0.037666,-0.070711,
314919309,25,605,-0.041934,-0.067461,
314919309,26,630,-0.040804,-0.086174,
314919309,27,656,-0.033277,-0.10194,
314919309,28,681,-0.037796,-0.077231,
314919309,29,706,-0.024429,-0.088314,
314919309,30,731,-0.025367,-0.087917,
314919309,31,757,-0.038183,-0.06233,
314919309,32,782,-0.0080459,-0.054438,
314919309,33,807,0.0025086,-0.063294,
314919309,34,832,0.026218,-0.043193,
314919309,35,857,0.016857,-0.0089816,
314919309,36,883,0.032214,-0.017938,
314919309,37,908,0.028184,-0.038898,
314919309,38,933,0.03121,-0.035325,
314919309,39,958,0.036978,-0.024869,
314919309,40,984,0.07318,-0.010016,
314919309,41,1009,0.077087,0.003812,
314919309,42,1034,0.072215,0.027001,
314919309,43,1059,0.063471,0.0059879,
314919309,44,1084,0.077059,0.044849,
314919309,45,1110,0.088555,0.029256,
314919309,46,1135,0.10538,0.041049,
314919309,47,1160,0.10585,0.063193,
314919309,48,1185,0.11536,0.075375,
314919309,49,1211,0.1213,0.052424,
314919309,50,1236,0.10984,0.067754,
314919309,51,1261,0.12801,0.053263,
314919309,52,1286,0.14225,0.064426,
314919309,53,1311,0.161,0.070232,
314919309,54,1337,0.11406,0.065961,
314919309,55,1362,0.13697,0.059094,
314919309,56,1387,0.1366,0.062483,
314919309,57,1412,0.12862,0.060245,
314919309,58,1438,0.14998,0.078162,
314919309,59,1463,0.17801,0.063088,
314919309,60,1488,0.19516,0.088561,
314919309,61,1513,0.22763,0.070075,
314919309,62,1538,0.24481,0.080376,
314919309,63,1564,0.25891,0.081992,
314919309,64,1589,0.26573,0.11391,
314919309,65,1614,0.30846,0.10202,
314919309,66,1639,0.32187,0.079358,
314919309,67,1664,0.34737,0.083779,
314919309,68,1690,0.3277,0.11746,
