device_time_stamp,system_time_stamp,UTC,left_gaze_point_on_display_area_x,left_gaze_point_on_display_area_y,left_gaze_point_in_user_coordinate_system_x,left_gaze_point_in_user_coordinate_system_y,left_gaze_point_in_user_coordinate_system_z,left_gaze_origin_in_trackbox_coordinate_system_x,left_gaze_origin_in_trackbox_coordinate_system_y,left_gaze_origin_in_trackbox_coordinate_system_z,left_gaze_origin_in_user_coordinate_system_x,left_gaze_origin_in_user_coordinate_system_y,left_gaze_origin_in_user_coordinate_system_z,left_pupil_diameter,left_pupil_validity,left_gaze_origin_validity,left_gaze_point_validity,right_gaze_point_on_display_area_x,right_gaze_point_on_display_area_y,right_gaze_point_in_user_coordinate_system_x,right_gaze_point_in_user_coordinate_system_y,right_gaze_point_in_user_coordinate_system_z,right_gaze_origin_in_trackbox_coordinate_system_x,right_gaze_origin_in_trackbox_coordinate_system_y,right_gaze_origin_in_trackbox_coordinate_system_z,right_gaze_origin_in_user_coordinate_system_x,right_gaze_origin_in_user_coordinate_system_y,right_gaze_origin_in_user_coordinate_system_z,right_pupil_diameter,right_pupil_validity,right_gaze_origin_validity,right_gaze_point_validity
1401621409,4651835972305,20114.347,0.864966630935669,0.7073706388473511,136.49807739257812,94.03337097167969,23.422836303710938,0.5889665484428406,0.5153704881668091,0.9420472979545593,-48.738548278808594,-8.420418739318848,782.6141967773438,,0,1,1,1.055916428565979,0.7809476256370544,208.06661987304688,73.712158203125,14.796981811523438,0.4721226692199707,0.5179414749145508,0.9228967428207397,15.159920692443848,-9.75671100616455,776.8690185546875,,0,1,1
1401629745,4651835980641,20122.341,0.8851470947265625,0.6465665102005005,144.061767578125,110.82685852050781,30.55126190185547,0.5889428853988647,0.5155190229415894,0.9417537450790405,-48.7200813293457,-8.500828742980957,782.526123046875,3.0999603271484375,1,1,1,1.052415370941162,0.8019383549690247,206.75442504882812,67.91471862792969,12.33612060546875,0.4719892144203186,0.5180754661560059,0.9226438403129578,15.231003761291504,-9.828629493713379,776.7931518554688,3.123077392578125,1,1,1
1401638076,4651835988972,20130.085,0.864199161529541,0.7016469240188599,136.21041870117188,95.61421203613281,24.09386444091797,0.5888627767562866,0.5156298875808716,0.9412798881530762,-48.667381286621094,-8.560001373291016,782.3839721679688,,0,1,1,,,,,,,,,,,,,0,0,0
1401646408,4651835997304,20139.189,0.8672116994857788,0.708681583404541,137.33953857421875,93.67131042480469,23.269149780273438,0.5888833403587341,0.5157781839370728,0.9410416483879089,-48.6741943359375,-8.640439987182617,782.3125,,0,1,1,1.052415370941162,0.8019383549690247,206.75442504882812,67.91471862792969,12.33612060546875,0.47205039858818054,0.5182925462722778,0.9219250679016113,15.193514823913574,-9.943902969360352,776.5775146484375,,0,1,1
1401654744,4651836005640,20147.291,0.8496466875076294,0.7069686651229858,130.756103515625,94.14439392089844,23.46996307373047,0.5888579487800598,0.515848696231842,0.9410274028778076,-48.6600227355957,-8.678985595703125,782.3082275390625,3.163970947265625,1,1,1,1.0890052318572998,0.7939454913139343,220.46841430664062,70.12226867675781,13.273170471191406,0.4719396233558655,0.5183519721031189,0.9215394854545593,15.251468658447266,-9.974715232849121,776.4618530273438,3.045166015625,1,1,1
1401663063,4651836013959,20155.53,0.855973482131958,0.7153629064559937,133.12741088867188,91.82598876953125,22.485862731933594,0.5888009667396545,0.5158788561820984,0.9409539699554443,-48.627437591552734,-8.695270538330078,782.2861938476562,,0,1,1,,,,,,,,,,,,,0,0,0
1401671405,4651836022301,20164.728,0.8658351898193359,0.7062139511108398,136.8236083984375,94.35284423828125,23.558441162109375,0.5888417959213257,0.5159348845481873,0.9411763548851013,-48.653961181640625,-8.72669506072998,782.3529052734375,,0,1,1,1.0890052318572998,0.7939454913139343,220.46841430664062,70.12226867675781,13.273170471191406,0.4720551669597626,0.5184048414230347,0.9194838404655457,15.176606178283691,-9.995503425598145,775.8451538085938,,0,1,1
1401679740,4651836030637,20172.342,0.883672297000885,0.6978743076324463,143.50900268554688,96.65615844726562,24.536148071289062,0.5888339281082153,0.5159144997596741,0.9415358304977417,-48.65633773803711,-8.716733932495117,782.4607543945312,3.1112823486328125,1,1,1,1.0524580478668213,0.8035004138946533,206.77041625976562,67.48330688476562,12.152984619140625,0.4719938039779663,0.5183820128440857,0.9168542623519897,15.194462776184082,-9.972975730895996,775.0562744140625,3.07635498046875,1,1,1
1401688059,4651836038956,20181.471,0.8828073740005493,0.7004959583282471,143.18484497070312,95.93209838867188,24.228797912597656,0.5888209939002991,0.5158923864364624,0.9417956471443176,-48.65409469604492,-8.705484390258789,782.5386962890625,,0,1,1,1.0524580478668213,0.8035004138946533,206.77041625976562,67.48330688476562,12.152984619140625,0.4720556139945984,0.5183587670326233,0.914569079875946,15.147514343261719,-9.951536178588867,774.3707275390625,,0,1,1
1401696403,4651836047300,20188.625,0.8740867376327515,0.7198617458343506,139.91632080078125,90.58345031738281,21.95843505859375,0.588909387588501,0.5158913135528564,0.9422807097434998,-48.71158981323242,-8.706504821777344,782.6842041015625,,0,1,1,1.0815857648849487,0.7655638456344604,217.68756103515625,77.96099853515625,16.600509643554688,0.4722212255001068,0.5182852149009705,0.9116062521934509,15.040468215942383,-9.900304794311523,773.4818725585938,,0,1,1
